2025-12-10 11:21:54,717 INFO    MainThread:11052 [wandb_setup.py:_flush():81] Current SDK version is 0.22.3
2025-12-10 11:21:54,719 INFO    MainThread:11052 [wandb_setup.py:_flush():81] Configure stats pid to 11052
2025-12-10 11:21:54,719 INFO    MainThread:11052 [wandb_setup.py:_flush():81] Loading settings from C:\Users\thame\.config\wandb\settings
2025-12-10 11:21:54,719 INFO    MainThread:11052 [wandb_setup.py:_flush():81] Loading settings from C:\Users\thame\Desktop\CS5900\zip\Zip_Solver-with_LLM\src\wandb\settings
2025-12-10 11:21:54,719 INFO    MainThread:11052 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-12-10 11:21:54,719 INFO    MainThread:11052 [wandb_init.py:setup_run_log_directory():706] Logging user logs to C:\Users\thame\Desktop\CS5900\zip\Zip_Solver-with_LLM\src\wandb\run-20251210_112154-62t9ft7a\logs\debug.log
2025-12-10 11:21:54,720 INFO    MainThread:11052 [wandb_init.py:setup_run_log_directory():707] Logging internal logs to C:\Users\thame\Desktop\CS5900\zip\Zip_Solver-with_LLM\src\wandb\run-20251210_112154-62t9ft7a\logs\debug-internal.log
2025-12-10 11:21:54,720 INFO    MainThread:11052 [wandb_init.py:init():833] calling init triggers
2025-12-10 11:21:54,720 INFO    MainThread:11052 [wandb_init.py:init():838] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-12-10 11:21:54,720 INFO    MainThread:11052 [wandb_init.py:init():881] starting backend
2025-12-10 11:21:57,108 INFO    MainThread:11052 [wandb_init.py:init():884] sending inform_init request
2025-12-10 11:21:57,167 INFO    MainThread:11052 [wandb_init.py:init():892] backend started and connected
2025-12-10 11:21:57,168 INFO    MainThread:11052 [wandb_init.py:init():962] updated telemetry
2025-12-10 11:21:57,220 INFO    MainThread:11052 [wandb_init.py:init():986] communicating run to backend with 90.0 second timeout
2025-12-10 11:21:59,811 INFO    MainThread:11052 [wandb_init.py:init():1033] starting run threads in backend
2025-12-10 11:21:59,880 INFO    MainThread:11052 [wandb_run.py:_console_start():2506] atexit reg
2025-12-10 11:21:59,880 INFO    MainThread:11052 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-12-10 11:21:59,880 INFO    MainThread:11052 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-12-10 11:21:59,880 INFO    MainThread:11052 [wandb_run.py:_redirect():2446] Redirects installed.
2025-12-10 11:21:59,881 INFO    MainThread:11052 [wandb_init.py:init():1073] run started, returning control to user process
2025-12-10 11:21:59,896 INFO    wandb-AsyncioManager-main:11052 [service_client.py:_forward_responses():80] Reached EOF.
2025-12-10 11:21:59,896 INFO    wandb-AsyncioManager-main:11052 [mailbox.py:close():137] Closing mailbox, abandoning 2 handles.
